Subject,Session,epoch,epoch_size,Aperture,Boredom,Clarity,Conflict,Dereification,Wakefulness,Emotion,Effort,Stability,MetaAwareness,ObjectOrientation,Source
3614_BrisbaneHornet,832904_TET,1,20,0.8155915646060995,0.0410201774799626,0.045286782834893555,0.5939873041322703,0.7591912777069256,0.8425151654266155,0.49685050454101265,0.721255164295808,0.030174073326166544,0.8543153936189976,0.15593611395522172,0.10754653785904149
3614_BrisbaneHornet,832904_TET,2,20,0.7937806741012859,0.03660869552651126,0.06648487981426313,0.5931294915619979,0.7589545332631131,0.838788328582789,0.48745181829519,0.7260445185636991,0.2195690561186836,0.8473946285046295,0.6887939614516714,0.5245676623662552
3614_BrisbaneHornet,832904_TET,3,20,0.6362252090446427,0.03513120752815798,0.4952715732145826,0.5569418313341121,0.7527420386936233,0.8257870076146048,0.3757662655632556,0.5080141597711505,0.6430247995676005,0.8365234364817498,0.9393922750800139,0.8260429599834896
3614_BrisbaneHornet,832904_TET,4,20,0.1702084158599828,0.0308334990672516,0.9400121290235127,0.22754565221876585,0.7336809547436907,0.7964486397071622,0.02633368587155474,0.2970776468812546,0.8230155096886506,0.7787298408868616,0.9428223415696442,0.8223830762541768
3614_BrisbaneHornet,832904_TET,5,20,0.11786260025784072,0.027389743889232397,0.9383659337780648,0.07386220064204421,0.715718385493036,0.8124752495370785,0.0009272348594498931,0.27058831990161814,0.8820044892442566,0.8267497362894958,0.9478126457131202,0.8020898349457738
3614_BrisbaneHornet,832904_TET,6,1,0.1183319186261321,0.0242799938443381,0.927270189522793,0.0885610699287445,0.7079166920023922,0.8212159803075624,0.0009533781904059,0.2456927032962292,0.8713637779730437,0.8082362844572327,0.9389468797401952,0.8013187712679287
3614_BrisbaneHornet,836246_TET,1,20,0.9600937557592285,0.030288593502745258,0.9728676034011491,0.025454654025960345,0.7667302244501563,0.9689962745104508,0.027986736205780162,0.336449219382909,0.9710578097878866,0.9718809646100027,0.02957432763528111,0.03463058542920092
3614_BrisbaneHornet,836246_TET,2,20,0.9555756673683954,0.024494578233827818,0.9843900534433285,0.027675777736050833,0.7744196961076751,0.9660183907731275,0.017448311905072632,0.3288048254404091,0.9882532235095756,0.9788663753120034,0.025041249800692666,0.03001340252038747
3614_BrisbaneHornet,836246_TET,3,20,0.9569390196088989,0.01999648158356351,0.9841914514205399,0.015279234465180888,0.7750778189234862,0.9675755088180896,0.008125621828670004,0.3286078806934213,0.978890748434336,0.9867098113927627,0.01863513487261928,0.030869811787319373
3614_BrisbaneHornet,836246_TET,4,20,0.956656381359777,0.01462173844790673,0.9643593036401945,0.007326434450240135,0.7654870848979224,0.9639783800181492,0.24595168221611266,0.33796812573055357,0.9830602329659719,0.9923253031609123,0.01494710646040778,0.031415345412100865
3614_BrisbaneHornet,836246_TET,5,20,0.9519291174096649,0.0130299191410134,0.9665180385055325,0.012264001668722197,0.7665858851256677,0.957131773872414,0.09117731309967822,0.3166389693542341,0.9949802922268225,0.9965600067310291,0.014788278938200963,0.03463619170308465
3614_BrisbaneHornet,836246_TET,6,1,0.9539164485475404,0.011016284548827,0.99428395221292,0.001506498865577,0.7681881142364118,0.9599362261178108,-0.0275959939269065,0.2979770594525703,1.0055712909221113,1.0026644648149876,0.0100678868219184,0.0265834294593304
