Subject,Session,epoch,epoch_size,Aperture,Boredom,Clarity,Conflict,Dereification,Wakefulness,Emotion,Effort,Stability,MetaAwareness,ObjectOrientation,Source,Med_type
3614_BrisbaneHornet,832904_TET,1,7,0.8084740015239118,0.0435748209592185,0.0431875814100289,0.5905748123617812,0.7523073157647205,0.8439120209159441,0.5001575612403103,0.7091425859463298,0.016586390564948,0.8530834605991677,0.1203468660204331,0.1010508645936092,Breath
3614_BrisbaneHornet,832904_TET,2,7,0.8269250386571299,0.0396099064103904,0.0427808961819936,0.5935328954431618,0.760664389592664,0.8424762811234336,0.4975304337448087,0.7238874178828542,0.0242677732171837,0.8552258946352502,0.1534431728305332,0.1015118338421436,Breath
3614_BrisbaneHornet,832904_TET,3,7,0.8095744729259591,0.0394342815769752,0.051469400126317,0.598350200840857,0.7652235957727888,0.840788506674824,0.4917037429996349,0.7327498950679352,0.0563626443944445,0.8543971021967103,0.2091061584143819,0.1274605979590998,Breath
3614_BrisbaneHornet,832904_TET,4,7,0.7992374134715445,0.0354674363934572,0.0627985299330189,0.6004421138236559,0.7627410906048889,0.8403973604578111,0.4897292935584049,0.7302570234724751,0.123127146321575,0.8512461744756717,0.4847167296449756,0.3156734844455688,Breath
3614_BrisbaneHornet,832904_TET,5,7,0.7936173964332907,0.0371759745584174,0.0713409162893203,0.5973183837453803,0.75915404443325,0.8404383032252623,0.4843790658009245,0.7268089597305318,0.2271332282072808,0.847133461174642,0.8066746006873473,0.613974544007222,Breath
3614_BrisbaneHornet,832904_TET,6,7,0.7849371121832462,0.0371609509253566,0.068991536241433,0.5741225388212571,0.7517905469407629,0.8308173243560134,0.4880990141068513,0.7123685111503644,0.3998922407551151,0.8409757932842289,0.8995848818166472,0.7755485726964786,Breath
3614_BrisbaneHornet,832904_TET,7,7,0.7622983178068503,0.0359061312411324,0.2159597121881304,0.5622822545639351,0.7525846664616996,0.8196903133821803,0.4668585774878995,0.6320731547997591,0.5651711317378308,0.8384597827690655,0.928561819057686,0.8223399516543658,Breath
3614_BrisbaneHornet,832904_TET,8,7,0.6251079080614765,0.0351485631533568,0.6627229317692559,0.554007517209038,0.7541947807185313,0.8275835752325319,0.3539257799229592,0.4380888366235203,0.7060293137372754,0.8345544609216632,0.9505626939272503,0.8334875835439559,Breath
3614_BrisbaneHornet,832904_TET,9,7,0.2854439824020459,0.0323633279907218,0.9173490076704236,0.5331626451683786,0.7496239529941299,0.833936172490965,0.1517104173484731,0.3116920263878995,0.7634560532696634,0.8352373750609183,0.950592906381739,0.8302708893750986,Breath
3614_BrisbaneHornet,832904_TET,10,7,0.1630873378436577,0.0307279452087287,0.9437935873069996,0.2895762315359677,0.7394577141218572,0.8307339913317531,0.0322989446654246,0.2992616377540173,0.7999176897447698,0.8253090003846134,0.9423356586066728,0.8229238078478879,Breath
3614_BrisbaneHornet,832904_TET,11,7,0.1739729958033042,0.0307547453268573,0.9409924335995984,0.1093943815275294,0.725291350761472,0.8052024837498963,0.0047814084211517,0.2956295298877507,0.8462108250970565,0.6862033942371184,0.9399743621095834,0.822371918022785,Breath
3614_BrisbaneHornet,832904_TET,12,7,0.1526798881984226,0.0292868626853228,0.9313400802874532,0.0671140547796514,0.7244182378939945,0.7201012713849944,0.000256722328277,0.2861882519692957,0.879918622248958,0.8304775698565915,0.9509721645320296,0.8102462233636046,Breath
3614_BrisbaneHornet,832904_TET,13,7,0.1203812141083115,0.0285746264137419,0.9385710701722448,0.0768315814249275,0.7168408593174973,0.825569219557193,0.0033312537547635,0.2783826879101957,0.8861898180532715,0.8291466730305089,0.9514105920527476,0.8006512228229395,Breath
3614_BrisbaneHornet,832904_TET,14,7,0.1015822410423554,0.0263790577116153,0.9436972366044396,0.074666062833736,0.7126583452125077,0.8235814808730665,-0.0006907837857244,0.261260647108516,0.8784594864495736,0.8240783660666977,0.9421794206124436,0.8008890272041329,Breath
3614_BrisbaneHornet,832904_TET,15,3,0.113488650930873,0.0243313499265346,0.9302439081215104,0.0827536497192507,0.7083347519582716,0.821635221460495,-0.0003188201198157,0.2469169105755728,0.8726885967625243,0.8145991464139962,0.9402864827574398,0.8017055165968068,Breath
3614_BrisbaneHornet,836246_TET,1,7,0.9619787242479382,0.0320438840791551,0.968150538002856,0.0260450522945864,0.7653421872965926,0.9701450159491586,0.0286003230356689,0.3326631688278501,0.9703881358261164,0.9669967273352884,0.0296706609106684,0.0350625407248159,Open Monitoring
3614_BrisbaneHornet,836246_TET,2,7,0.9601144745046628,0.0298396291935633,0.9738195795461424,0.0256081238700451,0.7651443081110969,0.9694001618131988,0.0286490087101475,0.338438860810768,0.9703811858641292,0.9736964689987864,0.0278047310967994,0.035172880519767,Open Monitoring
3614_BrisbaneHornet,836246_TET,3,7,0.9578708587281825,0.0283777172228796,0.9785029848913364,0.0245867055628298,0.7715261243470855,0.96718537100715,0.0254927357577759,0.3381094457864023,0.9732856513274204,0.9754749612500352,0.0318327660373118,0.0328308459788154,Open Monitoring
3614_BrisbaneHornet,836246_TET,4,7,0.9578709253659622,0.0253708181664024,0.982216017851843,0.0245874888051889,0.7801481549390054,0.96720507800236,0.0172343664900812,0.3294684901020391,0.982323361271192,0.9765875511361368,0.0261053280721581,0.03105686009344,Open Monitoring
3614_BrisbaneHornet,836246_TET,5,7,0.9526582808015844,0.0241484183540972,0.9862137235477584,0.0287830651268349,0.772365048613587,0.9655193785511342,0.0172337875497277,0.3265649636755602,0.99212904980689,0.9794675251066304,0.0251353935606681,0.0304143153098861,Open Monitoring
